driverId,name,ssn,location,certified,wage-plan,total_hours,avg_hours_per_week,max_hours_week,total_miles,avg_miles_per_week,max_miles_week,weeks_worked,miles_per_hour
10,George Vetticaden,621011971,244-4532 Nulla Rd.,N,miles,3232,62.15,76,147150,2829.81,3400,52,45.53
11,Jamie Engesser,262112338,366-4125 Ac Street,N,miles,3642,70.04,92,179300,3448.08,4500,52,49.23
12,Paul Coddin,198041975,Ap #622-957 Risus. Street,Y,hours,2639,50.75,60,135962,2614.65,2799,52,51.52
13,Joe Niemiec,139907145,2071 Hendrerit. Ave,Y,hours,2727,52.44,60,134126,2579.35,2773,52,49.18
14,Adis Cesir,820812209,Ap #810-1228 In St.,Y,hours,2781,53.48,60,136624,2627.38,2790,52,49.13
15,Rohit Bakshi,239005227,648-5681 Dui- Rd.,Y,hours,2734,52.58,60,138750,2668.27,2796,52,50.75
16,Tom McCuch,363303105,P.O. Box 313- 962 Parturient Rd.,Y,hours,2746,52.81,60,137205,2638.56,2800,52,49.97
17,Eric Mizell,123808238,P.O. Box 579- 2191 Gravida. Street,Y,hours,2701,51.94,60,135992,2615.23,2790,52,50.35
18,Grant Liu,171010151,Ap #928-3159 Vestibulum Av.,Y,hours,2654,51.04,60,137834,2650.65,2799,52,51.93
19,Ajay Singh,160005158,592-9430 Nonummy Avenue,Y,hours,2738,52.65,60,137968,2653.23,2800,52,50.39
20,Chris Harris,921812303,883-2691 Proin Avenue,Y,hours,2644,50.85,60,134564,2587.77,2794,52,50.89
21,Jeff Markham,209408086,Ap #852-7966 Facilisis St.,Y,hours,2751,52.9,60,138719,2667.67,2798,52,50.42
22,Nadeem Asghar,783204269,154-9147 Aliquam Ave,Y,hours,2733,52.56,60,137550,2645.19,2798,52,50.33
23,Adam Diaz,928312208,P.O. Box 260- 6127 Vitae Road,Y,hours,2750,52.88,60,137980,2653.46,2796,52,50.17
24,Don Hilborn,254412152,4361 Ac Road,Y,hours,2647,50.9,60,134461,2585.79,2793,52,50.8
25,Jean-Philippe Playe,913310051,P.O. Box 812- 6238 Ac Rd.,Y,hours,2723,52.37,60,139180,2676.54,2800,52,51.11
26,Michael Aube,124705141,P.O. Box 213- 8948 Nec Ave,Y,hours,2730,52.5,60,137530,2644.81,2783,52,50.38
27,Mark Lochbihler,392603159,8355 Ipsum St.,Y,hours,2771,53.29,60,137922,2652.35,2800,52,49.77
28,Olivier Renault,959908181,P.O. Box 243- 6509 Erat. Avenue,Y,hours,2723,52.37,60,137469,2643.63,2793,52,50.48
29,Teddy Choi,185502192,P.O. Box 106- 7003 Amet Rd.,Y,hours,2760,53.08,60,138255,2658.75,2798,52,50.09
30,Dan Rice,282307061,Ap #881-9267 Mollis Avenue,Y,hours,2773,53.33,60,137473,2643.71,2799,52,49.58
31,Rommel Garcia,858912101,P.O. Box 945- 6015 Sociis St.,Y,hours,2704,52.0,60,137057,2635.71,2797,52,50.69
32,Ryan Templeton,290304287,765-6599 Egestas. Av.,Y,hours,2736,52.62,60,137422,2642.73,2791,52,50.23
33,Sridhara Sabbella,967409015,Ap #477-2507 Sagittis Avenue,Y,hours,2759,53.06,60,139285,2678.56,2786,52,50.48
34,Frank Romano,391407216,Ap #753-6814 Quis Ave,Y,hours,2811,54.06,60,137728,2648.62,2800,52,49.0
35,Emil Siemes,971401151,321-2976 Felis Rd.,Y,hours,2728,52.46,60,138727,2667.83,2798,52,50.85
36,Andrew Grande,245303216,Ap #685-9598 Egestas Rd.,Y,hours,2795,53.75,60,138025,2654.33,2799,52,49.38
37,Wes Floyd,190504074,P.O. Box 269- 9611 Nulla Street,Y,hours,2694,51.81,59,137223,2638.9,2797,52,50.94
38,Scott Shaw,386411175,276 Lobortis Road,Y,hours,2760,53.08,60,137464,2643.54,2791,52,49.81
39,David Kaiser,967706052,9185 At Street,Y,hours,2745,52.79,60,138788,2669.0,2800,52,50.56
40,Nicolas Maillard,208510217,1027 Quis Rd.,Y,hours,2700,51.92,60,136931,2633.29,2799,52,50.72
41,Greg Phillips,308103116,P.O. Box 847- 5961 Arcu. Road,Y,hours,2723,52.37,60,138407,2661.67,2800,52,50.83
42,Randy Gelhausen,853302254,145-4200 In- Avenue,Y,hours,2697,51.87,60,136673,2628.33,2795,52,50.68
43,Dave Patton,977706052,3028 A- St.,Y,hours,2750,52.88,60,136993,2634.48,2796,52,49.82
